Pubmed ID,JAK1,TYK2,JAK2,JAK3,FER,FES,ABL-E255K,ABL-H396P,ABL-M351T,ABL-Q252H,ABL-T315I,ABL-Y253F,ABL1,ARG,CSK,BMX,BTK,TXK,TEC,ITK,BRK,SRMS,PTK5,BLK,LCK,HCK,LYNA,LYNB,FGR,FYN,SRC,YES,EPHA2,EPHA4,EPHA3,EPHB4,EPHB3,EPHB2,PYK2,SYK,ZAP70,LTK,ALK,ROS,INSR,IGF1R,IRR,DDR2,MUSK,TRKA,TRKB,TRKC,RON,MET,AXL,MER,TYRO3,RET,RET-V804L,RET-Y791F,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,KDR,FLT4,FMS,KIT,KIT-D816V,KIT-T6701,KIT-V560G,FLT3,FLT-3-D835Y,PDGFRα,PDGFRα-D842V,PDGFRα-T674I,PDGFRα-V561D,PDGFRβ,TIE2,TNK2,TNK1,EGFR,EGFR-L858R,EGFR-L861Q,EGFR-T790M,EGFR-T790M-L858R,ERBB2,ERBB4,IRAK4,LRRK2,LRRK2-G2019S,CRAF,BRAF,BRAF-V599E,MAP4K2,MST1,MST2,MST4,MAP4K4,MINK,LOK,PAK1,PAK3,PAK2,PAK5,PAK6,MEK1,CK1a,CK1-g2,CK1-g1,CK1-g3,PLK1,GRK7,GRK6,PDK1,MSK1,MSK2,RSK1,RSK2,RSK4,RSK3,P70S6K1,AKT2,AKT1,AKT3,SGK1,SGK3,SGK2,PKC-η,PKC-γ,PKC-α,PKC-β1,PKC-β2,PKC-θ,PKC-ι,PRKG2,PRKG1,PRKX,PKA,ROCK1,ROCK2,MRCK-β,MRCK-α,AURORA-B,AURORA-C,AURORA-A,CHEK2,DCAMKL2,CAMK4,CAMK1D,PHKG1,PHKG2,CAMK2D,CAMK2A,PRAK,MAPKAPK2,MAPKAPK3,MNK2,MKNK1,PRKD3,PRKD1,PRKD2,MARK4,MARK3,PAR-1Bα,MARK1,SNF1LK2 (QIK),SNF1LK (SIK),ARK5,BRSK1,BRSK2,AMPKA1 (A1B1G1),AMPKA2 (A2B1G1),MELK,TSSK2,TSSK1,DAPK1,PIM2,PIM3,PIM1,CHEK1,PASK,NEK1,NEK2,NEK9,NEK7,NEK6,TBK1,IKKE,IKKB,IKKA,CDK5/p35,CDK1/cyclinB,CDK2/cyclinA,CDK2/cyclinE,CDK3/cyclinE,CDK6/cyclinD3,CDK4/cyclinD,JNK2,P38α,P38β,P38δ,P38γ,MAPK1,MAPK3,GSK3A,GSK3B,SRPK1,MSSK1,CLK3,CLK2,HIPK1,HIPK4,DYRK1B,DYRK1A,DYRK2,CK2,TTK,PI3-K-α,PI3-K-δ,PI4-K-β,SPHK1,SPHK2,Compound ID,SMILES
11354358,1,-2,0,-6,2,1,-1,2,0,2,-1,1,-2,-3,2,1,-4,-5,-4,-4,3,-1,1,-3,-2,2,2,1,2,-3,2,2,-6,5,-1,-4,-1,6,5,2,-4,1,-3,2,2,-13,1,1,2,2,2,2,,5,-5,1,2,3,1,2,-5,-1,-2,-3,1,4,-7,-1,1,1,1,3,0,-4,5,2,2,3,4,0,0,0,9,3,4,0,-2,9,11,1,-5,-2,-1,3,3,2,1,1,-1,2,3,6,4,2,1,3,-9,1,5,-2,-2,-1,3,9,-2,1,-1,1,-1,-1,0,1,1,-3,-4,-3,0,1,0,4,0,-4,1,1,1,1,1,1,2,7,1,0,0,-3,-1,-4,-3,1,-5,-2,-1,4,2,1,0,1,0,31,1,1,-2,-1,-1,2,1,-1,0,0,2,-1,0,0,2,2,4,1,2,-1,-3,0,-1,-2,1,1,3,3,2,8,1,3,4,-3,-3,-3,-3,-2,-3,-6,-4,0,81,29,3,2,3,2,-1,-2,-1,-4,-4,1,-7,0,-5,-3,1,7,6,2,1,1,1,2,GW575533A,Cl.COc1ccc(Nc2ncc(o2)-c2ccccc2)cc1OC
11354358,1,-1,-1,0,4,0,1,2,0,0,1,3,0,4,1,0,0,2,-1,0,2,1,0,1,0,1,1,0,2,2,1,0,-4,-1,-3,0,1,5,3,2,0,1,1,3,-12,-1,-1,0,2,2,3,1,1,12,-1,0,0,-1,2,2,-5,0,1,4,-3,1,0,-2,1,4,1,1,0,1,3,3,1,6,2,-1,0,1,6,2,1,0,-1,0,7,0,2,3,-2,2,1,1,0,-2,0,1,1,2,6,0,0,0,-12,2,2,0,1,0,3,7,0,-1,-7,1,0,-2,-1,1,0,0,0,0,2,0,0,4,0,0,1,0,1,2,1,1,1,8,1,1,1,-1,1,0,1,-6,1,0,-1,4,-2,-1,-2,0,-3,22,1,2,0,0,1,0,1,1,1,0,3,1,0,1,10,3,3,1,1,-9,1,1,0,-12,1,1,0,4,0,1,0,4,1,-5,0,1,2,0,0,-3,-1,2,68,9,1,1,2,1,1,1,0,1,1,0,-4,-1,0,1,0,3,3,-1,-3,-1,0,1,GW627512B,COc1cc(Nc2ncc(o2)-c2ccccc2)cc(OC)c1OC
11354358,-5,0,-1,0,2,-2,-1,-2,1,0,-1,-1,-2,-1,-1,-1,-1,-3,-4,-1,0,-2,0,-3,-1,-2,0,0,-1,1,-2,-1,-4,-8,-7,-2,-6,-3,-5,0,-2,1,-3,3,3,1,-4,0,0,0,-2,0,-4,4,1,-1,-1,2,2,0,-3,1,-1,1,-1,-1,0,-3,-4,1,-3,-1,1,-1,0,1,0,3,0,-1,0,-1,4,-1,-1,0,2,1,-4,-1,0,2,-3,-3,5,2,-3,-4,0,0,-1,0,-3,-3,-1,-1,-13,-1,0,0,0,1,-1,3,-3,-1,-1,-2,0,-1,-2,0,-1,-4,-2,-2,2,-2,1,-1,0,-1,-2,0,0,0,0,0,1,1,0,-1,0,-1,-1,-5,-3,-4,-1,-2,0,2,-2,-3,-3,0,-2,23,-2,-1,0,-2,-1,2,-1,0,1,-9,-3,2,0,0,1,3,0,-1,0,1,0,1,0,1,1,-1,-1,1,-3,6,3,0,0,4,0,1,2,2,2,-1,0,-5,63,5,-2,-2,-2,1,2,0,2,0,0,-1,-4,-1,2,1,-1,4,2,-2,-1,7,2,0,GW572399X,NS(=O)(=O)c1ccc(Nc2ncc(o2)-c2ccccc2)cc1
11354358,1,-1,2,1,2,3,2,3,0,2,1,2,4,3,0,3,-2,9,8,3,1,-2,2,4,4,5,3,2,0,3,11,0,2,7,2,3,5,8,3,1,1,4,5,12,7,5,2,3,2,3,3,2,0,9,-7,1,1,2,3,16,7,7,8,-7,0,3,3,2,3,2,2,-3,3,-3,4,1,3,3,3,4,1,3,2,0,2,1,2,4,6,2,1,5,1,6,4,3,2,5,-1,4,5,6,7,5,2,5,-7,4,11,6,6,8,4,11,4,0,10,3,3,2,2,4,2,1,1,2,2,5,3,2,2,1,1,3,2,1,3,5,2,5,2,3,0,6,4,0,3,9,0,-2,0,1,6,4,2,1,5,37,1,1,5,5,5,1,3,3,2,6,8,1,3,1,2,8,6,1,4,12,0,-1,0,11,-2,1,6,5,4,-2,3,7,6,4,1,2,3,3,-4,-7,4,4,80,13,4,4,6,4,3,2,-3,5,1,2,-2,-1,-1,3,5,4,7,4,0,-2,1,0,GW641155A,Cl.N(c1ncc(o1)-c1ccccc1)c1ccc(Oc2ccccc2)cc1
11354358,0,-3,2,-4,2,2,-4,2,0,2,-1,4,-1,-2,2,4,-4,4,4,-2,4,-2,2,-2,0,6,4,1,1,-2,10,0,-1,6,-3,2,0,7,-1,-1,-5,5,0,11,6,-8,2,3,2,3,3,3,8,8,-9,4,2,0,2,3,3,6,4,0,1,6,-4,4,3,4,1,-2,0,3,7,1,1,2,4,5,0,2,-3,2,4,2,5,-1,0,1,-8,-2,1,5,3,0,3,6,-2,5,4,7,8,6,2,5,-9,2,5,1,0,1,4,10,4,0,2,2,1,-1,1,2,2,-3,-2,-2,2,3,2,3,1,-3,2,2,2,1,4,5,3,1,2,3,0,4,-2,-4,-2,3,-3,-2,-1,1,5,3,2,3,2,23,2,2,1,0,0,2,2,2,1,1,4,1,2,0,3,6,7,1,3,3,-4,-1,-1,1,-2,2,6,6,4,2,6,7,6,5,-3,-1,0,-1,-3,-5,0,3,59,6,5,4,5,5,-1,-2,-2,3,-3,2,-4,1,-4,-2,3,6,7,3,0,3,0,-1,GW580509X,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(o2)-c2cccc(OC)c2)c1
11354358,2,-2,3,0,-3,3,0,3,2,4,1,2,5,3,0,4,-2,7,8,3,1,-2,2,1,5,7,4,-1,1,3,9,1,2,7,1,4,3,9,-1,0,1,6,4,9,8,20,1,1,2,2,3,2,8,2,-7,1,1,3,3,5,4,9,10,3,1,3,11,8,2,3,3,-4,6,-3,7,2,4,3,4,4,1,3,1,4,2,2,0,1,5,2,0,6,1,7,4,-1,3,6,-2,3,3,7,9,6,3,5,-9,4,4,4,4,6,4,10,4,0,5,1,1,0,0,0,2,1,2,1,1,3,3,4,2,1,2,3,3,2,4,5,3,4,2,3,1,7,3,1,2,5,0,-2,0,1,6,5,3,3,4,13,1,4,5,5,5,2,2,2,1,0,3,-1,1,1,2,8,4,2,5,8,-1,0,1,7,-2,2,6,3,3,2,5,7,6,3,1,3,3,1,-2,-2,4,4,31,4,5,4,7,3,2,1,-2,4,1,1,0,1,-1,3,4,5,8,4,1,1,2,-1,GW621970X,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(o2)-c2cccc(F)c2)c1
11354358,4,-2,3,0,7,5,2,5,-1,3,3,4,4,2,3,5,0,9,8,3,3,-4,3,3,5,7,4,2,2,3,13,4,3,9,2,4,4,8,0,0,3,4,5,9,8,6,3,0,4,3,4,3,4,13,-8,3,2,2,2,3,5,11,11,5,1,5,7,6,7,4,1,-2,3,0,5,2,2,5,4,5,1,4,0,3,3,2,4,4,6,3,0,4,3,8,5,-1,4,8,-1,1,6,8,10,7,2,4,-4,5,6,5,5,5,6,-2,4,1,-3,3,2,0,2,3,3,2,2,3,3,4,2,5,3,1,1,2,4,3,6,5,4,9,3,4,1,6,3,2,4,-1,1,0,0,3,6,4,3,4,0,18,4,4,5,5,4,2,3,3,3,7,5,1,2,1,2,7,7,3,4,-3,-1,0,1,-3,-1,4,7,6,3,2,4,9,7,6,2,3,3,3,-4,-5,3,5,53,4,6,4,5,4,2,3,-3,1,2,1,0,0,0,3,4,3,9,6,1,2,2,1,GW577921A,Cl.COc1ccccc1Nc1ncc(o1)-c1ccccc1
11354358,1,-5,3,-1,7,4,2,5,1,4,3,4,7,6,1,4,0,7,7,3,5,-1,5,6,5,10,6,3,7,5,10,3,1,8,4,2,4,8,6,2,1,6,4,8,8,4,3,1,4,2,4,4,5,9,-8,2,1,3,3,6,6,11,14,4,1,9,6,4,7,6,2,-2,3,4,9,4,3,4,8,3,1,3,2,4,4,2,4,3,5,3,2,4,3,7,3,0,4,6,0,5,7,8,9,5,2,3,-7,4,7,4,5,3,6,10,5,1,-2,4,3,-1,1,3,3,1,1,1,2,4,4,3,3,1,2,2,3,3,3,4,4,6,3,4,0,3,4,2,4,-2,1,0,0,3,6,3,1,2,0,23,3,4,5,4,4,1,3,2,2,4,3,-1,2,2,1,6,6,2,4,-3,0,0,1,-4,0,3,7,5,3,1,4,7,5,7,0,2,3,3,-2,2,1,5,66,14,6,5,6,5,3,3,-2,-1,1,2,0,0,-1,3,4,6,7,5,0,-3,5,-1,GSK718429A,CCn1cc(c(n1)-c1cccc(NC(=O)Nc2ccc(OCc3ccccc3)cc2)c1)-c1ccnc2[nH]ccc12
11354358,3,-3,0,-2,6,4,3,5,1,4,4,5,5,5,4,6,0,0,2,2,4,-3,3,4,4,6,5,3,3,1,8,3,3,11,4,2,6,11,7,-1,0,4,5,5,3,0,3,6,5,1,5,4,4,2,-7,3,2,4,9,14,4,6,7,,1,9,3,3,8,5,3,-1,4,-1,12,3,12,5,7,7,1,4,6,4,3,2,1,0,11,3,6,6,1,7,6,1,5,7,-2,2,6,8,6,6,2,1,1,5,7,5,6,5,5,9,1,-1,-3,4,2,0,1,3,3,1,2,0,4,6,3,8,1,2,1,1,3,4,3,3,2,7,3,5,1,-3,5,7,4,-2,2,0,-1,6,8,3,6,2,0,30,2,5,5,5,5,3,4,1,3,2,6,2,1,4,3,4,6,3,4,-1,0,0,1,-3,0,3,7,8,3,1,2,7,7,5,0,0,2,3,0,1,1,7,77,52,6,4,8,6,2,3,-1,2,1,1,1,5,-1,3,3,11,7,4,1,2,1,-1,GW846105X,O=C(Nc1sc2N(CCCc2c1C#N)C(=O)C1CC1)c1cccc2ccccc12
11597418,2,-2,0,0,1,3,3,3,0,3,2,2,2,3,8,4,0,3,4,1,3,1,0,2,2,3,2,1,4,0,2,2,0,6,2,1,4,6,-2,3,1,3,1,3,2,0,1,1,1,0,0,3,5,2,-4,1,2,6,2,5,0,2,4,1,-1,3,2,2,2,5,5,-1,0,-8,7,4,4,4,4,3,1,2,6,4,1,0,-5,2,8,4,1,2,-1,2,2,1,3,4,-1,3,5,3,0,1,0,-5,-9,3,30,2,2,1,2,3,2,4,1,0,1,0,1,2,-1,0,0,3,2,2,0,4,0,1,1,3,2,1,3,1,1,3,0,1,-1,1,1,2,5,1,1,0,1,2,3,0,2,1,1,17,4,8,3,5,3,0,1,-1,2,7,3,-1,1,1,2,-1,2,2,2,2,0,2,3,1,-1,-1,2,8,3,3,-1,3,4,2,0,0,1,1,2,2,0,3,50,5,0,1,0,4,1,1,-2,0,1,3,4,2,1,2,2,8,5,2,4,1,-2,0,SB-814597,Fc1ccc(C(=O)Nc2sc3CCCCc3c2C#N)c2ccccc12
11597418,2,2,0,-1,2,2,3,5,1,4,1,3,2,3,6,7,-1,3,4,1,3,2,1,3,4,5,5,3,12,0,10,9,0,8,2,4,5,13,4,1,2,3,2,2,2,1,0,0,1,0,0,2,3,0,-3,0,2,7,4,7,1,2,4,0,0,4,0,-1,2,2,3,-1,1,-2,9,5,6,6,8,3,1,0,9,37,10,1,10,5,11,2,1,1,-3,4,3,2,3,1,1,5,9,3,1,2,1,-4,-10,3,53,5,7,12,7,3,2,4,2,2,2,1,3,3,0,1,0,2,2,3,3,2,6,19,16,27,1,2,1,2,1,3,0,1,1,1,4,1,2,1,0,0,1,3,3,1,3,1,1,35,2,2,6,5,7,0,3,1,2,7,3,-3,1,1,2,0,2,3,3,3,-1,1,0,0,0,2,3,6,3,4,0,4,3,7,0,0,1,1,2,4,1,28,84,51,3,4,2,4,3,5,-1,0,1,2,3,0,0,1,1,4,10,1,0,-1,2,0,SB-347804,Fc1ccc(cc1)C(=O)Nc1sc2CCCCc2c1C#N
