"Compound.ID","SMILES","FES","ABL2","BMX","TEC","IGF1R","TYK2","ZAK","STK39","STK24","MST4","MAP4K4","TNIK","SLK","STK10","PAK4","PKMYT1","CSNK1G1","CSNK1G3","VRK1","GSG2","PLK4","TLK1","ADRBK1","ADRBK2","GRK5","PDPK1","RPS6KA1","RPS6KA6","AKT3","STK38L","CDC42BPB","STK32A","CHEK2","DCLK1","PHKG2","CAMK2A","STK33","SNF1LK2","PRKAA1","PRKAA2","STK17A","STK17B","PIM2","PIM3","PIM1","NEK1","NEK2","CAMKK2","STK16","GAK","AAK1","CDK9","CDK2","PCTK2","MAPK8","MAPK13","MAPK3","MAPK7","CDKL1","SRPK1","SRPK2","CLK3","CLK4","DYRK1A","DYRK2","CDC7","TTK","GUCY2D"
"GSK1173862A","CCCN1CCCC(C1)c1ccc(Nc2nc(Nc3cc(F)ccc3C(N)=O)c3cc[nH]c3n2)c(OC)c1",6.6,0.3,0.6,-0.3,5.3,4,-0.2,8.3,2.3,0.8,3.3,3.6,1.5,2.2,5.8,-0.2,8.2,7.5,1.1,0.6,8.9,1.3,1.9,-0.5,4.8,0.3,3.9,3.4,-0.2,5.1,1.8,0.7,12.9,4.8,6.9,5.7,15.4,2.5,2.7,4.9,1.6,3.3,5.3,6.1,5.9,0.7,1.6,8.6,4.2,12.7,8.4,1.6,1.9,0.5,10.4,1.2,2.3,3.4,0.3,2.1,1.7,2.1,9.5,8.4,10.5,1.6,13.8,0.3
"GSK1220512A","COc1cc(ccc1Nc1nc(Nc2ccc(F)cc2C(N)=O)c2cc[nH]c2n1)N1CCN(CC1)C(C)C",6.5,0.3,0.2,-0.3,5.1,2.4,-0.3,7.7,1.6,0.3,2.1,1.7,3.6,1.5,3,-0.4,5.7,4.8,0.6,0.3,8.8,0.9,1,-0.5,3.1,0.6,2.3,2.8,-0.2,3.6,2.3,0.4,13.8,5.3,7.1,6.6,15.6,3.1,2.7,4.1,2.6,3.8,3.5,4.8,4.2,0.3,1.3,8.2,3.3,9.9,7.8,0.9,0.5,0.3,9.8,0.3,1.6,4.1,-0.1,0.6,0.7,1.9,7.3,6.3,6.7,-1,14.3,0.4
"GSK1326255A","CCCN1CCC(CC1)c1ccc(Nc2nc(Nc3cc(F)ccc3C(N)=O)c3cc[nH]c3n2)c(OC)c1",6.3,0.5,0.4,-0.3,5.2,3.7,-0.6,7.4,0.9,0.7,2.7,3,4.2,2.4,3.4,-0.3,7.4,6.8,0.9,0.4,8.6,1.7,3.3,0.2,6.4,0.2,3.7,0.8,-0.4,5.3,1.7,1.4,13.9,5.1,6.7,5.8,14.3,2.5,3,5.3,1.5,3.8,5.4,6.7,5.2,0.7,3.4,8.8,4.3,10.4,7.1,1.6,1.6,0.7,10.8,0.9,2.2,3.4,0.4,1.8,1.5,1.4,8.9,7.4,7.8,1.6,13.6,-0.5
"GSK1392956A","COc1cc(ccc1Nc1nc(Nc2ccc(F)cc2C(=O)NC[C@@H](O)CO)c2cc[nH]c2n1)N1CCN(CC1)C(C)C",2.4,-0.1,-0.1,-0.2,4.4,0.2,-0.8,0.8,0.1,-0.1,-0.7,0.1,-0.3,-0.5,0.1,-0.4,2,2.1,0.1,-0.3,5.7,0.5,0.4,-0.4,0.1,-0.2,1.2,0.5,-0.5,-0.3,-0.1,0.2,6.5,0.3,1.8,0.7,14.1,-0.1,0.6,1.1,-0.5,-0.1,0.1,1.7,0.2,-0.3,0.9,0.6,1.7,7.2,2.7,0.4,0.2,0.2,7.6,-0.6,0.8,0.4,-0.2,0.1,0,0.9,4.7,1.1,2.6,-0.9,11.3,-0.4
"GSK1511931A","COc1cc(ccc1Nc1nc(Nc2cccc3ncccc23)c2cc[nH]c2n1)N1CCN(CC1)C(C)C",3.1,0,0.2,-0.3,1.9,1.5,-0.4,1,-0.1,-0.3,-0.3,0,0.2,-0.2,0.1,-0.8,0.5,0.3,0,-0.2,2.2,0,0.1,-0.3,-1,0.3,0.9,0.6,-0.3,-0.9,0.8,-0.1,2.3,-0.2,0.7,1.1,5.9,0.6,0.2,0.6,-0.9,-0.2,-0.6,0.7,-0.3,-0.1,1.1,2.1,0.6,6.9,4.3,0.2,0.1,0.6,3.3,-0.3,0.5,0.3,-0.4,0,0.1,0.3,1.1,0.5,0.2,-1.2,8.6,0.2
"GSK1713088A","CCCN1CCC(CC1)Oc1cc(Nc2nc(Nc3cccc(F)c3C(N)=O)c3cc[nH]c3n2)c(OC)cc1Cl",2.4,0.7,0.8,-0.4,3.6,1.1,-0.3,0.6,0.4,-0.1,0,0.6,1.1,0.9,3.1,-0.9,5.6,3.7,-0.4,-0.2,1.8,0.5,0.6,-0.7,7.4,0.1,2.5,2.2,-0.6,-0.9,1.9,-0.3,1.5,1.8,1.6,2.9,9.8,0.3,1.4,2.3,0,1.2,4.1,4.8,5.4,0.1,-0.1,1.4,3,1.7,0.6,0.7,0.6,0.6,4.2,0.4,3.1,1.1,0.7,-0.3,0.8,0.3,5,3.3,1.6,-0.9,5.1,0.3
"GSK1751853A","COc1cc2CCN(C(=O)CN3CCN(CC3)C(C)C)c2cc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1",4,0.1,0.4,-0.1,3.7,0.9,0.1,0.7,0.5,0,-0.2,-0.1,0.3,-0.1,0.4,-0.5,1.7,1,-0.3,0.5,1.3,0.4,0,-0.4,1.8,0,0.5,-0.3,-0.3,-0.3,1.3,-0.2,3.5,0.3,0,0.5,5.7,0.8,0.5,1.5,-0.9,-0.1,-0.5,0.8,0.2,0.1,0.7,0.7,2.7,0.7,0.2,0.2,0.7,0.6,4.1,0.9,1.3,0.5,0,0.1,0.4,-0.1,2.5,0.1,0.3,-1.1,3.4,0.4
"GSK180736A","CC1=C(C(NC(=O)N1)c1ccc(F)cc1)C(=O)Nc1ccc2[nH]ncc2c1",0.3,0.5,0.3,0.5,0.2,0.1,-0.5,1.3,0.4,0.7,-0.4,0.3,-0.3,0.2,0.4,-0.5,-0.1,-0.2,0.2,0.1,2.5,0,5.1,2.2,1.3,-0.1,0,0.3,-0.2,1.1,0.8,0,0.2,1.3,-0.4,0.7,1.5,0.5,2,2.6,-0.3,1.2,0.8,0.4,-0.3,-0.1,-0.2,0.2,-0.2,-0.4,1.9,-0.1,1.2,0,-0.1,0,1.3,0.1,-0.2,-0.2,0.2,0.1,2,0.9,0.4,-0.3,0.4,0.1
"GSK1819799A","COc1cc(ccc1Nc1nc(Nc2cccc(F)c2C(O)=O)c2cc[nH]c2n1)N1CCN(CC1)C(C)C",3.6,0.1,0.1,-0.1,2.5,0.7,-0.8,0.9,0.5,-0.1,-0.4,0.1,0.4,-0.3,0.2,-0.6,1.1,0.6,0,-0.3,3.2,0.4,0.5,-0.2,1.5,-0.4,0.7,0.6,-0.4,-0.5,1.6,0,2.8,-1.7,2,0.4,9.3,0.2,0.3,0.9,-0.8,1.2,0.6,1.9,0,-0.3,1.5,0.9,1.6,5.1,1.2,0.3,0.2,0.4,7.9,-0.3,0.7,0.4,-0.1,0.3,0.2,0.2,1.9,1,1.6,-1.6,10.1,-0.3
"GSK182497A","CN(C)C(=O)O[C@H]1CN[C@@H](C1)C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1",0.9,0.8,0.5,0.8,0,0.8,0,0.6,1.4,2.3,0,1,2,5,0.6,0.7,0.6,-0.1,0.2,0.3,1.8,1.1,-0.4,0.1,1.4,0.4,0.4,0,0.1,0.6,0.8,0.2,NA,-0.3,0,0.4,0.4,0.1,0.5,0.5,0.8,2.6,2.5,1.9,1.3,0,3.6,0.9,0.3,1,0.4,-0.1,-0.2,2.5,0.9,-1.1,-0.3,-0.2,0,0.3,0.5,0.3,0.9,0.4,0.4,-0.1,0.2,0.2
"GSK192082A","CCNC(=O)O[C@H]1CN[C@@H](C1)C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1",0.6,0.7,0.2,1.4,0.2,0.5,-0.7,0.6,2.4,1.8,1,1,1,5.9,0.4,0.9,0.9,-0.6,-0.3,0.2,2.3,0.6,-0.1,0,3,0.1,0,0.5,-0.3,-0.8,-0.7,-0.2,2.4,0.2,0.1,0.6,0.4,1.1,-1.7,0.8,0.4,2.1,2,1.7,1.6,0.1,5,0.9,-0.2,0.3,1,0.4,0.7,0.3,0.9,0,-0.3,-0.4,0.4,0.6,0.4,-0.1,0.8,1.1,0,0.4,0.8,0.2
"GSK200398A","Cl.O=C(O[C@H]1CN[C@@H](C1)C#Cc1cc2ncnc(Nc3ccc4n(Cc5ccccc5)ncc4c3)c2s1)N1CCOCC1",0.2,0.7,1.6,-0.6,0.3,0.4,0.1,0.3,0.4,0.4,1,0.9,0.4,7,0.2,-0.5,1.5,0.3,0.1,0.6,1.9,0.2,-0.3,0.1,-1.1,0.4,0,0.8,0,-0.1,0.2,-0.1,3.7,0.1,-0.5,0.4,1.1,1.7,0.2,1,2.5,3.8,0.6,0.5,0.4,0,0.8,0.2,0.3,0.8,3,0.2,0.7,0.2,0.1,0.3,-0.2,-0.2,-0.3,-0.1,0.2,0.2,0.3,-0.7,0.1,-0.1,0.5,0.4
"GSK204925A","COc1cc2ncn(-c3cc(OCCc4ccccc4)c(s3)C(N)=O)c2cc1OC",0.1,0.5,0,-0.2,-0.2,1.1,-0.6,0.2,-0.4,-0.6,2.7,0.5,3,5.4,0.7,0.4,0.8,0.2,0.4,-0.1,2,-0.4,-0.4,-0.3,0.6,1.3,0.5,0.5,0.1,0.1,-0.2,0.5,0.4,-0.2,0.1,0.3,1.2,3,-0.1,0.4,1.3,2.3,-0.4,0.6,-0.3,-0.1,1.5,0.2,1.3,3.2,2.9,-0.2,-0.1,0,0.5,0,0,-0.2,-0.1,-0.1,-0.1,0.2,0.5,0.6,-3.1,0.5,0.2,0.3
"GSK2110236A","COc1cc2CCCN(C(=O)CN(C)C)c2cc1Nc1nc(Nc2ccsc2C(N)=O)c2cc[nH]c2n1",7.7,0.1,0.5,-0.3,8.2,1.4,-0.4,0.9,0.2,-0.1,-1.8,0.1,0.3,0.7,0.9,NA,4.1,1.6,0.7,1.9,2.8,-0.1,0.8,-0.5,8.4,-0.2,1.2,0.5,-0.3,-0.3,-0.3,0.7,6,1.8,0.7,1.2,8.3,0,0.5,1.2,-0.2,0.9,2.1,5,7.4,-0.2,0.4,1.4,2.4,1.4,2,0.1,0.1,0.7,3.3,0.7,0.8,0.3,0.3,0.4,1.5,0.1,5.2,0,-2.9,0,4.4,-0.5
"GSK2163632A","COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(CCC2(C)C)C(=O)CN(C)C",8.1,0.1,0.5,-0.7,8.4,1.7,-0.3,0.8,-0.3,0.1,1.7,0.4,1,2.1,1.5,-0.9,5.2,3,0.8,1.5,4.5,-0.2,1.5,-0.7,9.3,-0.1,2.1,1.1,-0.4,0,0,1.5,8.5,1.2,1.3,3.3,9.2,-0.1,0.5,1.4,-0.2,1.4,3.8,7.8,9.8,-0.1,0.6,2.3,3.1,2,2.6,0.4,0.4,0.5,4.2,1.9,1.1,0.4,0.3,2.4,3,0.2,5.1,0.6,4.9,0.3,6.5,-0.5
"GSK2186269A","COc1cc2CCN(C(=O)CN(C)C)c2cc1Nc1nc(N2CCc3ccccc23)c2cc[nH]c2n1",4.5,-0.1,0.5,-0.4,6.9,-0.1,-0.4,-0.2,0.1,0.4,-1.8,0,0.4,0.3,0.4,0.6,0.3,0,0,-0.1,0.1,0.1,0.1,-0.3,0.2,-0.5,0.1,0.2,-0.2,-0.5,-0.2,-0.3,0.8,-0.3,0.4,-0.1,5.2,0.1,0.2,0.3,-0.4,0.8,0.5,-0.1,0.7,-0.2,0.2,0,0.1,0.1,-0.1,0.1,0,0.5,0.6,-0.2,0.1,-0.1,0.4,0.3,0.5,-0.2,1.3,-0.1,3,-0.3,1.9,-0.4
"GSK2213727A","COc1cc(C)c(NC(=O)CN(C)C)cc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1",7.5,0.1,0.1,0,8,0,0,2.8,0.2,-0.2,-1.5,1.1,0.1,0.9,1.8,0,2.9,2.2,0.2,0.4,5.7,-0.3,0.1,-0.6,1.2,0.2,1.8,1.5,0,0.5,0.4,0.4,13.2,1.4,3.3,3.1,10,0.1,0.7,1.2,1.2,1.8,1.8,3.9,5.2,0.2,0.4,2.3,4.1,4.3,0.8,0.1,0.5,-0.3,4.3,0.4,0.4,0.3,0.2,0.5,1,2.3,6.6,1.8,-2,0.6,6,0.5
"GSK2219385A","COc1cc(C)c(cc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1)N(C)C(=O)CN(C)C",0.8,-0.1,0.5,-0.5,4.5,0.9,-0.1,-0.2,-0.1,-0.5,-1.9,-0.1,-0.1,-0.4,0.7,NA,2.2,3.5,-0.2,1.3,0.3,-0.2,-0.1,-0.2,3.6,-0.4,-0.1,0,-0.1,-0.5,-0.3,-0.5,2.5,-0.2,-0.1,0.2,1.9,0,0.2,0.6,-0.4,0.1,0.3,0.6,1.2,-0.3,0,0.1,1.7,1.8,0.2,-0.1,0.2,0.6,1.7,-0.1,0.5,-0.1,0.1,-0.1,0.4,0.2,4.3,0.3,-0.9,-0.1,1,-0.5
"GSK2220400A","CNC(=O)c1ncccc1Nc1nc(Nc2cc3N(CCCc3cc2OC)C(=O)CN(C)C)nc2[nH]ccc12",5.6,0,0.5,-0.6,7.1,1.8,-0.2,0.2,-0.2,0,-1.8,-0.1,-0.2,-0.1,0.6,-0.9,2.5,0.8,0.3,1.4,1.1,-0.3,0.4,-0.3,6.9,-0.2,0.4,0.3,-0.2,-0.7,-0.2,0.1,5.7,0.7,0.3,1.1,7.8,-0.3,0.4,1.4,-0.3,-0.1,1.1,5.2,7.2,-0.2,0.3,0,2.3,1.6,0.2,0.1,0.2,0.4,3.3,0.8,0.6,0.1,0.4,-0.1,1.1,0.1,7.4,-0.1,-3.2,0,2.9,-0.7
"GSK237700A","COc1cc2ncn(-c3cc(O[C@@H](C)c4ccccc4Cl)c(s3)C(N)=O)c2cc1OC",0.2,0.4,0.7,0.1,-0.4,0.5,-0.1,-0.2,NA,-0.9,-2,1.3,3.7,8.2,1.2,NA,0.9,0.4,0.8,-0.1,4.7,-0.5,-0.5,-0.5,1.5,1.6,0,0.4,-0.1,-0.6,0.7,0.7,0.7,-0.4,0.2,0.4,3.8,3.3,1,1.4,0,0.1,0.3,-0.5,-0.5,-0.3,1.2,0.1,3.8,3.6,2.6,0,-0.2,1.2,1.3,-0.7,0,-0.5,-0.5,0,0.4,0,2.1,0.3,-3.5,-0.2,0.9,-0.3
"GSK237701A","COc1cc2ncn(-c3cc(O[C@H](C)c4ccccc4Cl)c(s3)C(N)=O)c2cc1OC",-0.2,1.3,-0.2,-0.9,-0.2,2.5,-0.1,-1.3,0.1,0.3,0.6,2.3,5.4,10.2,1.1,-0.9,0.7,-0.1,0.2,-0.2,5.7,-1.1,-0.3,-0.2,-0.2,2.8,-0.3,0.2,-0.8,-0.6,0.7,0.5,-0.2,0,1.3,1.2,2.5,-1.6,1.1,2.2,0.1,-0.7,1,2.5,0.6,-0.1,3.8,1.2,4.1,3.6,6.8,0.9,-0.1,-0.4,-0.6,-0.4,-0.5,-0.5,-1.3,1.2,-0.3,1.4,1.8,-1,2.6,0.1,-1.3,-0.8
"GSK238063A","CN(C)C(=O)O[C@@H]1CN[C@H](C1)C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1",0.6,0.9,0.6,1.7,0.1,0.3,-0.5,1.5,1.9,1.9,-1.4,0.5,0.8,5,0.6,1,0.3,-0.2,0.5,0.5,2.2,1.1,-0.2,-0.1,2.9,0.1,0,0.5,-0.3,-0.1,-0.5,-0.1,1.4,0.4,0.2,0.4,0.7,-1.2,0.1,0.9,0.4,2.2,2.4,2,2.2,0.2,4.4,1,0.7,0.4,0.8,0.7,0.9,0.3,1.1,-0.2,-0.2,-0.6,0.6,0.9,0.8,0.3,0.8,2.4,0.3,0.4,1,0.7
"GSK238583A","OC(=O)C(F)(F)F.O=C(O[C@H]1CN[C@@H](C1)C#Cc1cc2ncnc(Nc3ccc(Cc4ccccc4)cc3)c2s1)N1CCOCC1",0.2,0.9,-0.5,-0.7,-0.2,2.7,2.3,-0.3,0.7,0.1,0,0.8,0.1,4.4,0.2,-0.9,2.6,0.2,0,0.3,2,0.1,0.5,0,1.1,0.1,0.2,0.1,-0.3,-0.6,-0.4,0.2,2.4,-0.6,-0.6,0.7,0.7,-0.1,0.8,1.4,-0.8,-0.4,0.6,0.6,-0.4,-0.2,2.8,0,0.9,-0.2,0.6,0,-0.2,0.2,-0.2,-0.5,0.1,0.1,-0.3,0.3,-0.3,0.1,-0.1,-0.9,-0.1,-0.8,0.1,-0.1
"GSK248233A","CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(cc4)N(C)C)c3)cc12)-c1nonc1N",-0.8,0.3,-0.2,-0.4,-0.1,-0.1,-0.7,-0.4,1.7,1.1,3.8,-0.3,-0.4,0.9,-0.6,0.2,-0.1,-0.5,-0.2,5.2,0.1,0.3,0.1,0.8,0.2,0,0.4,-0.4,-1.8,3.2,1.3,-0.6,1.2,0.1,-0.4,-0.6,-0.1,-1.8,-1.1,1.5,0.1,6.9,1.9,1.4,1.6,-0.3,0.5,-0.4,0.2,0.1,7.5,-0.4,0.4,-1.2,1.2,-0.5,-0.7,-0.5,-0.3,0.4,-1,0.4,1.7,0,0.2,-0.1,0.7,-0.5
"GSK259178A","OC(=O)C(F)(F)F.Fc1ccc(F)c(Cn2ccc3cc(Nc4ncnc5cc(sc45)C#C[C@@H]4C[C@H](CN4)OC(=O)N4CCOCC4)ccc23)c1",0,0.6,-0.2,-0.7,-0.3,2,-0.6,-0.4,-1,-0.4,-0.2,0.6,NA,5,0.1,-0.5,3.7,-0.1,-0.5,2.9,1,-0.1,-0.1,-0.2,0.3,0.1,-0.1,0.1,-0.1,-0.2,-1.1,-0.4,2.1,0.2,-0.1,-0.2,-0.1,-0.3,-0.7,0.2,1,-0.6,0,-0.2,-0.4,-0.1,10.2,0.4,0.4,1.2,1.9,-0.6,-1.1,-0.2,-0.7,-0.1,-0.1,0.2,-0.7,-0.4,-0.3,-0.6,-0.6,0,-0.2,0.6,0.5,-0.4
"GSK269962B","Cl.CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc12)-c1nonc1N",-0.9,0.3,0,0,0.4,0.2,-0.1,0.3,0.7,0.2,-1.7,0.1,0.1,0.8,0.2,-0.5,0.7,0.2,-0.1,5.4,4.6,-0.8,-0.3,-0.3,-0.3,0.6,0.2,0.3,1.9,3.4,-1,-0.2,0.4,0.5,-0.3,-0.1,1.5,-1.4,0.4,1.9,1.4,6.9,2.1,1.4,2,0.2,-0.5,-0.2,1.8,0.6,8.8,1.1,1,-0.1,2.6,0.4,0.3,-0.4,-0.4,-0.6,-0.2,0.5,2.7,-1.2,-0.3,-0.1,0,0.4
"GSK270822A","CC1=C(C(CC(=O)N1)c1ccc2ccccc2c1)C(=O)Nc1ccc2[nH]ncc2c1",1,1.3,0.9,-0.9,-0.1,-0.5,-0.5,0.3,2.3,1.9,-0.3,0,NA,0.1,0.6,0,-0.3,-0.1,0.3,0.5,0.4,-0.1,3.8,0.8,3.9,-0.3,-0.3,0.1,-0.1,2.9,0.6,0.4,0.3,0.5,-0.1,0.2,3.9,-0.3,3.6,4.7,-0.9,0.2,0.2,0.2,0,-0.2,0.3,0.4,0.5,-0.4,1,0.1,1.3,0.2,0,0,3.3,0.1,-0.4,-0.1,0,-0.2,2.8,0.8,0.2,-0.4,0.5,-0.6
